*Mercedes Championships,,,,,,
Keith Clearwater,-,65,73,71,276,"$6,308 "
Brad Fabel,-,68,66,71,276,"$6,308 "
Kelly Gibson,-,68,65,75,276,"$6,308 "
Paul Goydos,-,68,69,73,276,"$6,308 "
Jim McGovern,-,70,67,72,276,"$6,308 "
Don Pooley,-,65,69,72,276,"$6,308 "
Loren Roberts,-,69,71,68,276,"$6,308 "
Iain Steel,-,68,67,70,276,"$6,308 "
Omar Uresti,-,67,69,72,276,"$6,308 "
Woody Austin,-,72,67,73,277,"$4,329 "
Richie Coughlan,-,65,71,69,277,"$4,329 "
Clark Dennis,-,70,72,68,277,"$4,329 "
Jeff Gallagher,-,70,72,68,277,"$4,329 "
Len Mattiace,-,67,70,70,277,"$4,329 "
Joe Ozaki,-,68,66,72,277,"$4,329 "
Tim Simpson,-,68,64,75,277,"$4,329 "
Dave Stockton Jr.,-,67,69,71,277,"$4,329 "
Billy Ray Brown,-,65,72,72,278,"$3,960 "
Jimmy Johnston,-,67,71,68,278,"$3,960 "
Kent Jones,-,69,68,72,278,"$3,960 "
Blaine McCallister,-,69,70,70,278,"$3,960 "
Sonny Skinner,-,67,72,70,278,"$3,960 "
Taylor Smith,-,68,66,73,278,"$3,960 "
Paul Stankowski,-,71,69,71,278,"$3,960 "
Doug Barron,-,70,71,69,279,"$3,780 "
Jim Carter,-,69,71,69,279,"$3,780 "
Corey Pavin,-,67,69,72,279,"$3,780 "
Craig Barlow,-,70,73,70,280,"$3,690 "
Jay Delsing,-,70,74,68,280,"$3,690 "
Fulton Allem,-,68,76,71,281,"$3,528 "
Mark Carnevale,-,70,67,76,281,"$3,528 "
Steve Flesch,-,69,71,73,281,"$3,528 "
Tom Lehman,-,68,72,70,281,"$3,528 "
John Morse,-,68,70,73,281,"$3,528 "
Gene Sauers,-,70,70,73,281,"$3,528 "
Mike Springer,-,70,71,71,281,"$3,528 "
Gary Hallberg,-,71,71,72,282,"$3,348 "
Glen Hnatiuk,-,64,71,77,283,"$3,330 "
David Ishii,-,69,74,75,283,"$3,330 "
Spike McRoy,-,71,70,75,284,"$3,276 "
Ben Bates,-,67,MC,MC,140,-
Don Berry,-,68,MC,MC,140,-
Guy Boros,-,69,MC,MC,140,-
Barry Cheesman,-,67,MC,MC,140,-
Joe Daley,-,71,MC,MC,140,-
Chris DiMarco,-,70,MC,MC,140,-
Bruce Fleisher,-,70,MC,MC,140,-
Bob Friend,-,72,MC,MC,140,-
Steve Jurgensen,-,72,MC,MC,140,-
Tim Loustalot,-,69,MC,MC,140,-
Mark Wiebe,-,67,MC,MC,140,-
David Edwards,-,69,MC,MC,141,-
Jim Estes,-,69,MC,MC,141,-
Harrison Frazar,-,68,MC,MC,141,-
Bobby Gage,-,68,MC,MC,141,-
Bob Gilder,-,70,MC,MC,141,-
Nolan Henke,-,72,MC,MC,141,-
Brian Kamm,-,73,MC,MC,141,-
Wayne Levi,-,71,MC,MC,141,-
Dicky Pride,-,69,MC,MC,141,-
Jeff Sluman,-,70,MC,MC,141,-
Jim Thorpe,-,73,MC,MC,141,-
Lennie Clements,-,71,MC,MC,142,-
Joe Durant,-,74,MC,MC,142,-
Danny Edwards,-,72,MC,MC,142,-
Robin Freeman,-,69,MC,MC,142,-
J.P. Hayes,-,70,MC,MC,142,-
Lon Hinkle,-,69,MC,MC,142,-
J.L. Lewis,-,69,MC,MC,142,-
Keith Nolan,-,72,MC,MC,142,-
Lee Porter,-,70,MC,MC,142,-
Ron Castillo Jr.,-,70,MC,MC,143,-
Joakim Haeggman,-,69,MC,MC,143,-
David Peoples,-,73,MC,MC,143,-
Joe Root,-,71,MC,MC,143,-
Brian Sasada,-,75,MC,MC,143,-
Mike Sullivan,-,71,MC,MC,143,-
Bobby Wadkins,-,72,MC,MC,143,-
Kevin Wentworth,-,68,MC,MC,143,-
Dave Barr,-,74,MC,MC,144,-
Tim Conley,-,70,MC,MC,144,-
Jim Gallagher Jr.,-,74,MC,MC,144,-
Greg Meyer,-,71,MC,MC,144,-
Mike Small,-,70,MC,MC,144,-
Ted Tryba,-,71,MC,MC,144,-
Mark Wurtz,-,71,MC,MC,144,-
Brian Claar,-,74,MC,MC,145,-
Niclas Fasth,-,74,MC,MC,145,-
Bobby Harston,-,74,MC,MC,145,-
Tateo (Jet) Ozaki,-,70,MC,MC,145,-
Tom Pernice Jr.,-,74,MC,MC,145,-
Scott Simpson,-,73,MC,MC,145,-
Paul Azinger,-,70,MC,MC,146,-
Pete Jordan,-,71,MC,MC,146,-
Lan Gooch,-,74,MC,MC,147,-
John Riegger,-,73,MC,MC,147,-
Phil Tataurangi,-,74,MC,MC,147,-
Andy Bean,-,78,MC,MC,148,-
Chip Beck,-,73,MC,MC,150,-
Phil Blackmar,-,71,MC,MC,150,-
Guy Hill,-,77,MC,MC,153,-
Ryan K. Koshi,-,74,MC,MC,153,-
a a,-,71,MDF,MDF,140,-
Michael Christie,-,WD,WD,WD,70,-
Lanny Wadkins,-,WD,WD,WD,WD,-
*Tucson Chrysler Classic,,,,,,
David Duval,-,62,68,73,269,"$360,000 "
Justin Leonard,-,70,68,70,273,"$176,000 "
David Toms,-,67,68,68,273,"$176,000 "
Tim Herron,-,70,67,69,275,"$88,000 "
Steve Lowery,-,70,68,69,275,"$88,000 "
Tom Lehman,-,71,69,70,276,"$67,000 "
Andrew Magee,-,68,72,67,276,"$67,000 "
Bob Tway,-,68,71,67,276,"$67,000 "
Jim Furyk,-,70,68,70,277,"$50,000 "
Scott Hoch,-,66,71,71,277,"$50,000 "
Steve Pate,-,66,72,69,277,"$50,000 "
Joey Sindelar,-,70,66,69,277,"$50,000 "
Tommy Tolles,-,70,68,70,277,"$50,000 "
Robert Damron,-,72,68,69,278,"$35,000 "
Glen Hnatiuk,-,74,67,69,278,"$35,000 "
Sandy Lyle,-,69,70,70,278,"$35,000 "
Mike Standly,-,67,72,69,278,"$35,000 "
John Daly,-,70,69,70,279,"$27,000 "
Jerry Kelly,-,69,70,68,279,"$27,000 "
Mike Reid,-,71,72,65,279,"$27,000 "
Payne Stewart,-,70,70,70,279,"$27,000 "
Russ Cochran,-,71,70,70,280,"$20,800 "
Rocco Mediate,-,67,67,73,280,"$20,800 "
Steve Stricker,-,68,68,71,280,"$20,800 "
Bob Estes,-,70,70,69,281,"$15,267 "
John Huston,-,66,71,72,281,"$15,267 "
Doug Martin,-,72,69,70,281,"$15,267 "
Billy Mayfair,-,69,69,72,281,"$15,267 "
David Ogrin,-,69,67,75,281,"$15,267 "
David Sutherland,-,72,73,69,281,"$15,267 "
Fulton Allem,-,71,72,68,282,"$10,200 "
Jay Don Blake,-,72,69,72,282,"$10,200 "
Michael Bradley,-,73,70,69,282,"$10,200 "
Mark Calcavecchia,-,71,70,73,282,"$10,200 "
Trevor Dodds,-,72,74,68,282,"$10,200 "
Paul Goydos,-,72,65,74,282,"$10,200 "
Dudley Hart,-,70,71,69,282,"$10,200 "
Nolan Henke,-,70,73,70,282,"$10,200 "
Kenny Perry,-,69,72,70,282,"$10,200 "
Curtis Strange,-,71,69,72,282,"$10,200 "
Ted Tryba,-,69,72,71,282,"$10,200 "
Grant Waite,-,69,72,70,282,"$10,200 "
Mike Brisky,-,69,73,69,283,"$6,800 "
P.H. Horgan III,-,71,71,69,283,"$6,800 "
Len Mattiace,-,69,72,70,283,"$6,800 "
Scott Verplank,-,70,67,73,283,"$6,800 "
Ronnie Black,-,69,70,72,284,"$5,207 "
Mark Brooks,-,68,69,76,284,"$5,207 "
Christopher Hanell,-,72,71,72,284,"$5,207 "
Mike Hulbert,-,73,70,71,284,"$5,207 "
Jonathan Kaye,-,74,69,74,284,"$5,207 "
Lee Rinker,-,69,68,73,284,"$5,207 "
John Adams,-,69,74,71,285,"$4,608 "
Yoshinori Mizumaki,-,71,70,72,285,"$4,608 "
Dave Rummells,-,72,71,73,285,"$4,608 "
Kevin Sutherland,-,70,71,72,285,"$4,608 "
Willie Wood,-,68,73,71,285,"$4,608 "
Billy Andrade,-,74,71,72,286,"$4,380 "
Barry Cheesman,-,71,71,72,286,"$4,380 "
Richie Coughlan,-,69,72,72,286,"$4,380 "
David Edwards,-,73,70,73,286,"$4,380 "
Steve Jones,-,71,76,71,286,"$4,380 "
Jeff Sluman,-,70,70,73,286,"$4,380 "
Nick Faldo,-,73,72,72,287,"$4,180 "
Dan Forsman,-,68,74,72,287,"$4,180 "
Jim Gallagher Jr.,-,71,72,74,287,"$4,180 "
Keith Nolan,-,70,77,71,287,"$4,180 "
Brent Geiberger,-,70,75,74,288,"$4,060 "
J.L. Lewis,-,71,75,70,288,"$4,060 "
Jim McGovern,-,74,71,76,289,"$3,980 "
Loren Roberts,-,73,73,73,289,"$3,980 "
John Cook,-,73,75,72,290,"$3,900 "
Bruce Lietzke,-,74,73,74,290,"$3,900 "
Jay Delsing,-,72,74,78,291,"$3,820 "
Omar Uresti,-,72,73,75,291,"$3,820 "
Kirk Triplett,-,70,72,79,293,"$3,760 "
